name,category_paper,score_paper,name_v_paper,category_my,score_my,name_v_my
NC_007636,Phage,0.996676921844482,NC_007636.1,Phage,0.989909529685974,NC_007636.1
NC_030928,Phage,0.928595304489135,NC_030928.1,Phage,0.955627381801605,NC_030928.1
NC_030937,Phage,0.939341843128204,NC_030937.1,Phage,0.940124571323395,NC_030937.1
NC_041844,Phage,0.908992171287536,NC_041844.1,Phage,0.901186883449554,NC_041844.1
NC_041845,Phage,0.888241410255432,NC_041845.1,Phage,0.910355925559998,NC_041845.1
NC_041846,Phage,0.940102934837341,NC_041846.1,Phage,0.945530593395233,NC_041846.1
NC_041847,Phage,0.874104857444763,NC_041847.1,Phage,0.917928636074066,NC_041847.1
NC_041848,Phage,0.734172940254211,NC_041848.1,Phage,0.959054410457611,NC_041848.1
NC_041849,Phage,0.889682531356811,NC_041849.1,Phage,0.901631355285644,NC_041849.1
NC_041850,Phage,0.935466170310974,NC_041850.1,Phage,0.931021273136139,NC_041850.1
NC_041852,Phage,0.946950674057006,NC_041852.1,Phage,0.942869603633881,NC_041852.1
NC_041853,Phage,0.939475178718566,NC_041853.1,Phage,0.945231974124908,NC_041853.1
NC_041854,Phage,0.987247705459594,NC_041854.1,Phage,0.999918937683106,NC_041854.1
NC_041855,Phage,0.915209114551544,NC_041855.1,Phage,0.938703179359436,NC_041855.1
NC_041856,Phage,0.981868386268615,NC_041856.1,Phage,0.979038119316101,NC_041856.1
NC_041857,Phage,0.835396766662597,NC_041857.1,Phage,0.876211106777191,NC_041857.1
NC_041858,Phage,0.994907200336456,NC_041858.1,Phage,0.960086703300476,NC_041858.1
NC_041859,Phage,0.75724846124649,NC_041859.1,Phage,0.949168503284454,NC_041859.1
NC_041860,Phage,0.96075290441513,NC_041860.1,Phage,0.940828561782837,NC_041860.1
NC_041861,Phage,0.960304975509643,NC_041861.1,Phage,0.999732613563538,NC_041861.1
NC_041862,Phage,0.998133897781372,NC_041862.1,Phage,0.989573895931244,NC_041862.1
NC_041863,Phage,0.975614547729492,NC_041863.1,Phage,0.988739550113678,NC_041863.1
NC_041864,Phage,0.978551745414733,NC_041864.1,Phage,0.968660831451416,NC_041864.1
NC_041865,Phage,0.919360160827636,NC_041865.1,Phage,0.968284726142883,NC_041865.1
NC_041866,Bacteria,0.49464538693428,NC_041866.1,Bacteria,0.467864125967026,NC_041866.1
NC_041867,Phage,0.816779851913452,NC_041867.1,Phage,0.937498986721039,NC_041867.1
NC_041868,Phage,0.88004332780838,NC_041868.1,Phage,0.953044176101685,NC_041868.1
NC_041869,Phage,0.9675914645195,NC_041869.1,Phage,0.973910748958588,NC_041869.1
NC_041870,Phage,0.910600841045379,NC_041870.1,Phage,0.978617966175079,NC_041870.1
NC_041871,Phage,0.941357672214508,NC_041871.1,Phage,0.9888054728508,NC_041871.1
NC_041872,Phage,0.949398756027221,NC_041872.1,Phage,0.955097794532776,NC_041872.1
NC_041873,Phage,0.959705591201782,NC_041873.1,Phage,0.96743768453598,NC_041873.1
NC_041874,Phage,0.959573447704315,NC_041874.1,Phage,0.933951437473297,NC_041874.1
