Accession,Phages/Bacteria,Dataset type
NC_000911,Bacteria,Pre-training
NC_000912,Bacteria,Pre-training
NC_002946,Bacteria,Pre-training
NC_002950,Bacteria,Pre-training
NC_002951,Bacteria,Pre-training
NC_003198,Bacteria,Pre-training
NC_003384,Bacteria,Pre-training
NC_003385,Bacteria,Pre-training
NC_003869,Bacteria,Pre-training
NC_003919,Bacteria,Pre-training
NC_003921,Bacteria,Pre-training
NC_003922,Bacteria,Pre-training
NC_004347,Bacteria,Pre-training
NC_004349,Bacteria,Pre-training
NC_004572,Bacteria,Pre-training
NC_005042,Bacteria,Pre-training
NC_005229,Bacteria,Pre-training
NC_005230,Bacteria,Pre-training
NC_005231,Bacteria,Pre-training
NC_005232,Bacteria,Pre-training
NC_005773,Bacteria,Pre-training
NC_006513,Bacteria,Pre-training
NC_006629,Bacteria,Pre-training
NC_006823,Bacteria,Pre-training
NC_006824,Bacteria,Pre-training
NC_006840,Bacteria,Pre-training
NC_006841,Bacteria,Pre-training
NC_006842,Bacteria,Pre-training
NC_007274,Bacteria,Pre-training
NC_007275,Bacteria,Pre-training
NC_007486,Bacteria,Pre-training
NC_007487,Bacteria,Pre-training
NC_007491,Bacteria,Pre-training
NC_007498,Bacteria,Pre-training
NC_007509,Bacteria,Pre-training
NC_007510,Bacteria,Pre-training
NC_007511,Bacteria,Pre-training
NC_007608,Bacteria,Pre-training
NC_007613,Bacteria,Pre-training
NC_007705,Bacteria,Pre-training
NC_007776,Bacteria,Pre-training
NC_007880,Bacteria,Pre-training
NC_007912,Bacteria,Pre-training
NC_007971,Bacteria,Pre-training
NC_007972,Bacteria,Pre-training
NC_007973,Bacteria,Pre-training
NC_007974,Bacteria,Pre-training
NC_008120,Bacteria,Pre-training
NC_008121,Bacteria,Pre-training
NC_008122,Bacteria,Pre-training
NC_008150,Bacteria,Pre-training
NC_008209,Bacteria,Pre-training
NC_008245,Bacteria,Pre-training
NC_008255,Bacteria,Pre-training
NC_008260,Bacteria,Pre-training
NC_008386,Bacteria,Pre-training
NC_008387,Bacteria,Pre-training
NC_008388,Bacteria,Pre-training
NC_008389,Bacteria,Pre-training
NC_008463,Bacteria,Pre-training
NC_008555,Bacteria,Pre-training
NC_008563,Bacteria,Pre-training
NC_008610,Bacteria,Pre-training
NC_008711,Bacteria,Pre-training
NC_008712,Bacteria,Pre-training
NC_008713,Bacteria,Pre-training
NC_008752,Bacteria,Pre-training
NC_008770,Bacteria,Pre-training
NC_008787,Bacteria,Pre-training
NC_008790,Bacteria,Pre-training
NC_009074,Bacteria,Pre-training
NC_009075,Bacteria,Pre-training
NC_009142,Bacteria,Pre-training
NC_009328,Bacteria,Pre-training
NC_009329,Bacteria,Pre-training
NC_009342,Bacteria,Pre-training
NC_009343,Bacteria,Pre-training
NC_009495,Bacteria,Pre-training
NC_009496,Bacteria,Pre-training
NC_009497,Bacteria,Pre-training
NC_009523,Bacteria,Pre-training
NC_009616,Bacteria,Pre-training
NC_009633,Bacteria,Pre-training
NC_009656,Bacteria,Pre-training
NC_009698,Bacteria,Pre-training
NC_009767,Bacteria,Pre-training
NC_009837,Bacteria,Pre-training
NC_009838,Bacteria,Pre-training
NC_009850,Bacteria,Pre-training
NC_009897,Bacteria,Pre-training
NC_009900,Bacteria,Pre-training
NC_009921,Bacteria,Pre-training
NC_010002,Bacteria,Pre-training
NC_010120,Bacteria,Pre-training
NC_010123,Bacteria,Pre-training
NC_010124,Bacteria,Pre-training
NC_010125,Bacteria,Pre-training
NC_010287,Bacteria,Pre-training
NC_010501,Bacteria,Pre-training
NC_010604,Bacteria,Pre-training
NC_010612,Bacteria,Pre-training
NC_010617,Bacteria,Pre-training
NC_010622,Bacteria,Pre-training
NC_010623,Bacteria,Pre-training
NC_010625,Bacteria,Pre-training
NC_010627,Bacteria,Pre-training
NC_010644,Bacteria,Pre-training
NC_010645,Bacteria,Pre-training
NC_011146,Bacteria,Pre-training
NC_011295,Bacteria,Pre-training
NC_011375,Bacteria,Pre-training
NC_011771,Bacteria,Pre-training
NC_011772,Bacteria,Pre-training
NC_011773,Bacteria,Pre-training
NC_011774,Bacteria,Pre-training
NC_011775,Bacteria,Pre-training
NC_011776,Bacteria,Pre-training
NC_011777,Bacteria,Pre-training
NC_012026,Bacteria,Pre-training
NC_012471,Bacteria,Pre-training
NC_012490,Bacteria,Pre-training
NC_012669,Bacteria,Pre-training
NC_012848,Bacteria,Pre-training
NC_012849,Bacteria,Pre-training
NC_012850,Bacteria,Pre-training
NC_012851,Bacteria,Pre-training
NC_012852,Bacteria,Pre-training
NC_012853,Bacteria,Pre-training
NC_012854,Bacteria,Pre-training
NC_012855,Bacteria,Pre-training
NC_012856,Bacteria,Pre-training
NC_012857,Bacteria,Pre-training
NC_012858,Bacteria,Pre-training
NC_012881,Bacteria,Pre-training
NC_012891,Bacteria,Pre-training
NC_012947,Bacteria,Pre-training
NC_012973,Bacteria,Pre-training
NC_012984,Bacteria,Pre-training
NC_013170,Bacteria,Pre-training
NC_013204,Bacteria,Pre-training
NC_013353,Bacteria,Pre-training
NC_013354,Bacteria,Pre-training
NC_013355,Bacteria,Pre-training
NC_013356,Bacteria,Pre-training
NC_013357,Bacteria,Pre-training
NC_013358,Bacteria,Pre-training
NC_013441,Bacteria,Pre-training
NC_013442,Bacteria,Pre-training
NC_013512,Bacteria,Pre-training
NC_013520,Bacteria,Pre-training
NC_013522,Bacteria,Pre-training
NC_013799,Bacteria,Pre-training
NC_013853,Bacteria,Pre-training
NC_013854,Bacteria,Pre-training
NC_013855,Bacteria,Pre-training
NC_013856,Bacteria,Pre-training
NC_013857,Bacteria,Pre-training
NC_013858,Bacteria,Pre-training
NC_013859,Bacteria,Pre-training
NC_013860,Bacteria,Pre-training
NC_013889,Bacteria,Pre-training
NC_013930,Bacteria,Pre-training
NC_013947,Bacteria,Pre-training
NC_014034,Bacteria,Pre-training
NC_014035,Bacteria,Pre-training
NC_014148,Bacteria,Pre-training
NC_014149,Bacteria,Pre-training
NC_014165,Bacteria,Pre-training
NC_014169,Bacteria,Pre-training
NC_014209,Bacteria,Pre-training
NC_014258,Bacteria,Pre-training
NC_014323,Bacteria,Pre-training
NC_014555,Bacteria,Pre-training
NC_014556,Bacteria,Pre-training
NC_014561,Bacteria,Pre-training
NC_014562,Bacteria,Pre-training
NC_014563,Bacteria,Pre-training
NC_014666,Bacteria,Pre-training
NC_014751,Bacteria,Pre-training
NC_014752,Bacteria,Pre-training
NC_014829,Bacteria,Pre-training
NC_014837,Bacteria,Pre-training
NC_014838,Bacteria,Pre-training
NC_014839,Bacteria,Pre-training
NC_014840,Bacteria,Pre-training
NC_014841,Bacteria,Pre-training
NC_014842,Bacteria,Pre-training
NC_014932,Bacteria,Pre-training
NC_015138,Bacteria,Pre-training
NC_015183,Bacteria,Pre-training
NC_015184,Bacteria,Pre-training
NC_015224,Bacteria,Pre-training
NC_015387,Bacteria,Pre-training
NC_015436,Bacteria,Pre-training
NC_015475,Bacteria,Pre-training
NC_015508,Bacteria,Pre-training
NC_015510,Bacteria,Pre-training
NC_015511,Bacteria,Pre-training
NC_015512,Bacteria,Pre-training
NC_015513,Bacteria,Pre-training
NC_015560,Bacteria,Pre-training
NC_015561,Bacteria,Pre-training
NC_015564,Bacteria,Pre-training
NC_015577,Bacteria,Pre-training
NC_015578,Bacteria,Pre-training
NC_015579,Bacteria,Pre-training
NC_015580,Bacteria,Pre-training
NC_015582,Bacteria,Pre-training
NC_015583,Bacteria,Pre-training
NC_015589,Bacteria,Pre-training
NC_015601,Bacteria,Pre-training
NC_015635,Bacteria,Pre-training
NC_015673,Bacteria,Pre-training
NC_015683,Bacteria,Pre-training
NC_015707,Bacteria,Pre-training
NC_015710,Bacteria,Pre-training
NC_015713,Bacteria,Pre-training
NC_015856,Bacteria,Pre-training
NC_015857,Bacteria,Pre-training
NC_015858,Bacteria,Pre-training
NC_015914,Bacteria,Pre-training
NC_015946,Bacteria,Pre-training
NC_015947,Bacteria,Pre-training
NC_015978,Bacteria,Pre-training
NC_015979,Bacteria,Pre-training
NC_015980,Bacteria,Pre-training
NC_016010,Bacteria,Pre-training
NC_016511,Bacteria,Pre-training
NC_016632,Bacteria,Pre-training
NC_016783,Bacteria,Pre-training
NC_016799,Bacteria,Pre-training
NC_016830,Bacteria,Pre-training
NC_016855,Bacteria,Pre-training
NC_016856,Bacteria,Pre-training
NC_016909,Bacteria,Pre-training
NC_016912,Bacteria,Pre-training
NC_016929,Bacteria,Pre-training
NC_017020,Bacteria,Pre-training
NC_017021,Bacteria,Pre-training
NC_017028,Bacteria,Pre-training
NC_017029,Bacteria,Pre-training
NC_017039,Bacteria,Pre-training
NC_017044,Bacteria,Pre-training
NC_017056,Bacteria,Pre-training
NC_017065,Bacteria,Pre-training
NC_017075,Bacteria,Pre-training
NC_017093,Bacteria,Pre-training
NC_017117,Bacteria,Pre-training
NC_017125,Bacteria,Pre-training
NC_017126,Bacteria,Pre-training
NC_017127,Bacteria,Pre-training
NC_017128,Bacteria,Pre-training
NC_017129,Bacteria,Pre-training
NC_017145,Bacteria,Pre-training
NC_017176,Bacteria,Pre-training
NC_017177,Bacteria,Pre-training
NC_017179,Bacteria,Pre-training
NC_017188,Bacteria,Pre-training
NC_017191,Bacteria,Pre-training
NC_017244,Bacteria,Pre-training
NC_017245,Bacteria,Pre-training
NC_017333,Bacteria,Pre-training
NC_017334,Bacteria,Pre-training
NC_017335,Bacteria,Pre-training
NC_017336,Bacteria,Pre-training
NC_017358,Bacteria,Pre-training
